AnimeIndex,AnimeName,AnimeYear,AnimeImage
161,Abenobashi Mahou Shoutengai,2002,https://cdn.myanimelist.net/images/anime/8/80568l.jpg
162,Samurai Deeper Kyou,2002,https://cdn.myanimelist.net/images/anime/2/13029l.jpg
163,Naruto,2002,https://cdn.myanimelist.net/images/anime/13/17405l.jpg
164,Koukaku Kidoutai: Stand Alone Complex,2002,https://cdn.myanimelist.net/images/anime/11/50857l.jpg
165,GetBackers,2002,https://cdn.myanimelist.net/images/anime/1682/103233l.jpg
166,.hack//Tasogare no Udewa Densetsu,2003,https://cdn.myanimelist.net/images/anime/4/78321l.jpg
167,Wolf's Rain,2003,https://cdn.myanimelist.net/images/anime/5/59403l.jpg
168,Konjiki no Gash Bell!!,2003,https://cdn.myanimelist.net/images/anime/7/14983l.jpg
169,Air Master,2003,https://cdn.myanimelist.net/images/anime/9/30393l.jpg
170,Matantei Loki Ragnarok,2003,https://cdn.myanimelist.net/images/anime/13/75300l.jpg
171,Dear Boys,2003,https://cdn.myanimelist.net/images/anime/1141/109328l.jpg
172,Submarine Super 99,2003,https://cdn.myanimelist.net/images/anime/7/49109l.jpg
173,Full Metal Panic? Fumoffu,2003,https://cdn.myanimelist.net/images/anime/4/75260l.jpg
174,Ikkitousen,2003,https://cdn.myanimelist.net/images/anime/5/23091l.jpg
175,Green Green,2003,https://cdn.myanimelist.net/images/anime/7/75251l.jpg
176,D.C.: Da Capo,2003,https://cdn.myanimelist.net/images/anime/4/73936.jpg
177,Onegai Twins,2003,https://cdn.myanimelist.net/images/anime/1621/100229l.jpg
178,Mermaid Melody Pichi Pichi Pitch,2003,https://cdn.myanimelist.net/images/anime/3/9640l.jpg
179,Gunslinger Girl,2003,https://cdn.myanimelist.net/images/anime/2/20839l.jpg
180,Gungrave,2003,https://cdn.myanimelist.net/images/anime/11/75724l.jpg
181,Shingetsutan Tsukihime,2003,https://cdn.myanimelist.net/images/anime/12/20669l.jpg
